col,row,width_m,height_m,hex_color,length_m
37,7,0.015,0.015,#40211B,0.07
38,7,0.015,0.015,#5A502E,0.03
39,7,0.015,0.015,#5A502E,0.01
40,7,0.015,0.015,#2B1D16,0.01
41,7,0.015,0.015,#2B1D16,0.07
42,7,0.015,0.015,#1B140D,0.05
43,7,0.015,0.015,#2B1D16,0.03
44,7,0.015,0.015,#2B1D16,0.03
45,7,0.015,0.015,#1B140D,0.01
46,7,0.015,0.015,#13110D,0.01
47,7,0.015,0.015,#080504,0.07
48,7,0.015,0.015,#080504,0.03
49,7,0.015,0.015,#080504,0.01
50,7,0.015,0.015,#080504,0.05
1,8,0.015,0.015,#080504,0.09
2,8,0.015,0.015,#080504,0.01
3,8,0.015,0.015,#080504,0.01
4,8,0.015,0.015,#080504,0.01
5,8,0.015,0.015,#080504,0.03
6,8,0.015,0.015,#080504,0.01
7,8,0.015,0.015,#080504,0.01
8,8,0.015,0.015,#080504,0.09
9,8,0.015,0.015,#080504,0.01
10,8,0.015,0.015,#080504,0.07
11,8,0.015,0.015,#080504,0.01
12,8,0.015,0.015,#080504,0.07
13,8,0.015,0.015,#13110D,0.05
14,8,0.015,0.015,#1B140D,0.05
15,8,0.015,0.015,#10241E,0.01
16,8,0.015,0.015,#10241E,0.05
17,8,0.015,0.015,#1B140D,0.05
18,8,0.015,0.015,#1B140D,0.05
19,8,0.015,0.015,#2B1D16,0.01
20,8,0.015,0.015,#2B1D16,0.05
21,8,0.015,0.015,#40211B,0.01
22,8,0.015,0.015,#4E3028,0.05
23,8,0.015,0.015,#4E3028,0.07
24,8,0.015,0.015,#40211B,0.05
25,8,0.015,0.015,#4E3028,0.07
26,8,0.015,0.015,#4E3028,0.09
27,8,0.015,0.015,#40211B,0.09
28,8,0.015,0.015,#4E3028,0.03
29,8,0.015,0.015,#40211B,0.01
30,8,0.015,0.015,#4E3028,0.01
31,8,0.015,0.015,#716155,0.03
32,8,0.015,0.015,#5A502E,0.03
33,8,0.015,0.015,#40211B,0.03
34,8,0.015,0.015,#4E3028,0.09
35,8,0.015,0.015,#716155,0.07
36,8,0.015,0.015,#716155,0.07
37,8,0.015,0.015,#4E3028,0.05
38,8,0.015,0.015,#40211B,0.05
39,8,0.015,0.015,#40211B,0.03
40,8,0.015,0.015,#4E3028,0.05
41,8,0.015,0.015,#40211B,0.07
42,8,0.015,0.015,#22342B,0.03
43,8,0.015,0.015,#22342B,0.01
44,8,0.015,0.015,#2B1D16,0.07
45,8,0.015,0.015,#2B1D16,0.09
46,8,0.015,0.015,#1B140D,0.05
47,8,0.015,0.015,#080504,0.09
48,8,0.015,0.015,#080504,0.01
49,8,0.015,0.015,#080504,0.05
50,8,0.015,0.015,#080504,0.09
1,9,0.015,0.015,#080504,0.01
2,9,0.015,0.015,#080504,0.01
3,9,0.015,0.015,#080504,0.07
4,9,0.015,0.015,#080504,0.05
5,9,0.015,0.015,#080504,0.03
6,9,0.015,0.015,#080504,0.09
7,9,0.015,0.015,#080504,0.01
8,9,0.015,0.015,#080504,0.01
9,9,0.015,0.015,#080504,0.05
10,9,0.015,0.015,#080504,0.05
11,9,0.015,0.015,#080504,0.01
